ChamadoID,DataAbertura,Categoria,Prioridade,Status,Responsavel,Unidade,TempoResolucaoHoras,MetaSLAHoras,DentroSLA,Recorrente
CH-1001,2026-06-23,Software,Crítica,Concluído,Analista D,Unidade Centro,3.2,8,Sim,Sim
CH-1002,2026-03-16,Software,Média,Concluído,Analista D,Unidade Centro,13.6,32,Sim,Não
CH-1003,2026-08-02,Sistemas,Alta,Concluído,Analista E,Unidade Sul,21.0,16,Não,Não
CH-1004,2026-08-14,Equipamentos,Crítica,Em andamento,Analista D,Unidade Sul,3.1,8,Sim,Não
CH-1005,2026-07-25,Acessos,Alta,Concluído,Analista D,Unidade Centro,4.1,16,Sim,Não
CH-1006,2026-05-27,Equipamentos,Baixa,Concluído,Analista B,Unidade Sul,83.1,72,Não,Sim
CH-1007,2026-07-07,Equipamentos,Alta,Concluído,Analista B,Unidade Sul,10.3,16,Sim,Não
CH-1008,2026-01-27,Rede,Média,Em andamento,Analista D,Unidade Sul,2.3,32,Sim,Não
CH-1009,2026-05-14,Software,Média,Concluído,Analista E,Unidade Norte,23.9,32,Sim,Não
CH-1010,2026-03-04,Rede,Alta,Concluído,Analista C,Unidade Norte,10.0,16,Sim,Não
CH-1011,2026-03-14,Sistemas,Média,Em andamento,Analista D,Unidade Centro,34.7,32,Não,Não
CH-1012,2026-06-23,Acessos,Baixa,Concluído,Analista A,Unidade Centro,23.4,72,Sim,Não
CH-1013,2026-04-30,Acessos,Média,Concluído,Analista A,Unidade Norte,9.8,32,Sim,Não
CH-1014,2026-02-13,Rede,Média,Concluído,Analista E,Unidade Centro,38.9,32,Não,Não
CH-1015,2026-04-20,Equipamentos,Média,Concluído,Analista E,Unidade Sul,2.4,32,Sim,Não
CH-1016,2026-06-13,Software,Baixa,Concluído,Analista C,Unidade Norte,57.9,72,Sim,Não
CH-1017,2026-05-11,Acessos,Média,Concluído,Analista A,Unidade Norte,36.4,32,Não,Não
CH-1018,2026-05-15,Software,Média,Concluído,Analista E,Unidade Centro,8.0,32,Sim,Sim
CH-1019,2026-08-15,Sistemas,Média,Aguardando,Analista C,Unidade Sul,30.5,32,Sim,Sim
CH-1020,2026-05-26,Rede,Média,Concluído,Analista B,Unidade Norte,43.5,32,Não,Não
CH-1021,2026-08-07,Software,Baixa,Concluído,Analista C,Unidade Sul,62.5,72,Sim,Não
CH-1022,2026-06-28,Sistemas,Média,Concluído,Analista D,Unidade Centro,16.6,32,Sim,Não
CH-1023,2026-06-12,Software,Média,Concluído,Analista C,Unidade Norte,22.0,32,Sim,Não
CH-1024,2026-04-22,Software,Média,Concluído,Analista C,Unidade Centro,34.5,32,Não,Não
CH-1025,2026-01-23,Rede,Baixa,Concluído,Analista B,Unidade Centro,5.3,72,Sim,Sim
CH-1026,2026-01-28,Software,Média,Concluído,Analista E,Unidade Centro,6.0,32,Sim,Não
CH-1027,2026-07-03,Software,Média,Aguardando,Analista E,Unidade Norte,16.4,32,Sim,Não
CH-1028,2026-02-18,Sistemas,Alta,Em andamento,Analista B,Unidade Norte,4.6,16,Sim,Não
CH-1029,2026-03-21,Software,Média,Concluído,Analista B,Unidade Centro,12.0,32,Sim,Não
CH-1030,2026-03-30,Software,Média,Em andamento,Analista C,Unidade Norte,11.8,32,Sim,Sim
CH-1031,2026-08-06,Acessos,Baixa,Concluído,Analista D,Unidade Norte,101.3,72,Não,Não
