ItemID,Data,Pilar,Categoria,Prioridade,Status,EsforcoHoras,Risco,Responsavel
OP-001,2026-08-17,Run,Projetos,Média,Concluído,23,Médio,Pessoa C
OP-002,2026-01-28,Change,Automação,Alta,Concluído,2,Alto,Pessoa D
OP-003,2026-06-15,Run,Suporte,Baixa,Backlog,20,Baixo,Pessoa D
OP-004,2026-08-15,Run,Projetos,Baixa,Concluído,53,Médio,Pessoa B
OP-005,2026-03-28,Change,Projetos,Média,Backlog,22,Alto,Pessoa D
OP-006,2026-03-06,Run,Automação,Média,Backlog,35,Baixo,Pessoa B
OP-007,2026-02-18,Improve,Dados,Baixa,Concluído,27,Baixo,Pessoa A
OP-008,2026-05-12,Run,Dados,Alta,Em andamento,25,Baixo,Pessoa E
OP-009,2026-01-16,Improve,Suporte,Alta,Concluído,27,Médio,Pessoa A
OP-010,2026-03-07,Run,Suporte,Alta,Concluído,31,Médio,Pessoa B
OP-011,2026-08-02,Run,Dados,Média,Concluído,59,Alto,Pessoa C
OP-012,2026-03-29,Run,Automação,Média,Backlog,19,Baixo,Pessoa A
OP-013,2026-04-02,Change,Projetos,Alta,Backlog,29,Médio,Pessoa C
OP-014,2026-07-05,Run,Infraestrutura,Média,Concluído,46,Alto,Pessoa C
OP-015,2026-04-04,Change,Automação,Baixa,Backlog,43,Baixo,Pessoa B
OP-016,2026-02-03,Improve,Dados,Alta,Concluído,45,Baixo,Pessoa D
OP-017,2026-05-29,Improve,Infraestrutura,Média,Backlog,46,Baixo,Pessoa E
OP-018,2026-04-22,Improve,Projetos,Baixa,Concluído,65,Médio,Pessoa A
OP-019,2026-07-26,Improve,Suporte,Média,Concluído,64,Alto,Pessoa B
OP-020,2026-01-09,Run,Infraestrutura,Alta,Concluído,56,Alto,Pessoa C
OP-021,2026-04-10,Change,Automação,Alta,Concluído,4,Baixo,Pessoa E
OP-022,2026-06-04,Change,Suporte,Baixa,Em andamento,77,Médio,Pessoa E
OP-023,2026-08-15,Change,Suporte,Média,Concluído,46,Médio,Pessoa A
OP-024,2026-05-31,Run,Suporte,Média,Backlog,62,Baixo,Pessoa B
OP-025,2026-03-04,Run,Projetos,Alta,Concluído,43,Médio,Pessoa C
OP-026,2026-02-10,Run,Dados,Média,Concluído,38,Médio,Pessoa E
OP-027,2026-02-22,Run,Projetos,Baixa,Backlog,54,Alto,Pessoa D
OP-028,2026-02-25,Run,Projetos,Média,Concluído,78,Baixo,Pessoa A
OP-029,2026-03-12,Run,Automação,Baixa,Concluído,52,Alto,Pessoa B
OP-030,2026-07-05,Improve,Suporte,Média,Backlog,27,Médio,Pessoa A
OP-031,2026-04-27,Run,Projetos,Baixa,Concluído,38,Médio,Pessoa D
OP-032,2026-03-19,Improve,Suporte,Alta,Em andamento,72,Baixo,Pessoa C
OP-033,2026-05-08,Change,Projetos,Baixa,Concluído,7,Alto,Pessoa E
OP-034,2026-02-16,Run,Infraestrutura,Baixa,Em andamento,57,Alto,Pessoa D
OP-035,2026-08-18,Improve,Dados,Baixa,Concluído,31,Médio,Pessoa E
OP-036,2026-06-06,Run,Projetos,Média,Em andamento,34,Baixo,Pessoa B
OP-037,2026-07-23,Change,Automação,Baixa,Concluído,6,Alto,Pessoa D
OP-038,2026-01-01,Run,Suporte,Alta,Concluído,46,Médio,Pessoa E
OP-039,2026-08-21,Run,Infraestrutura,Alta,Concluído,60,Médio,Pessoa B
OP-040,2026-01-24,Run,Automação,Baixa,Concluído,14,Baixo,Pessoa D
OP-041,2026-01-22,Run,Projetos,Média,Concluído,24,Alto,Pessoa D
OP-042,2026-08-03,Run,Suporte,Média,Concluído,51,Baixo,Pessoa E
OP-043,2026-04-03,Change,Infraestrutura,Alta,Em andamento,11,Alto,Pessoa A
OP-044,2026-05-22,Change,Dados,Baixa,Concluído,58,Baixo,Pessoa D
OP-045,2026-03-25,Improve,Suporte,Alta,Concluído,35,Baixo,Pessoa D
OP-046,2026-06-19,Change,Automação,Média,Concluído,68,Alto,Pessoa C
OP-047,2026-08-19,Run,Automação,Alta,Backlog,19,Alto,Pessoa C
OP-048,2026-01-04,Improve,Automação,Média,Concluído,36,Médio,Pessoa A
OP-049,2026-01-25,Run,Automação,Baixa,Concluído,43,Alto,Pessoa C
OP-050,2026-04-22,Run,Dados,Alta,Concluído,28,Alto,Pessoa C
OP-051,2026-01-31,Improve,Infraestrutura,Média,Concluído,48,Alto,Pessoa E
OP-052,2026-04-19,Change,Projetos,Alta,Concluído,16,Alto,Pessoa B
OP-053,2026-02-01,Run,Automação,Média,Concluído,64,Alto,Pessoa B
OP-054,2026-07-06,Run,Automação,Média,Em andamento,22,Alto,Pessoa A
OP-055,2026-02-04,Change,Suporte,Baixa,Concluído,71,Médio,Pessoa C
OP-056,2026-05-17,Run,Dados,Média,Concluído,70,Baixo,Pessoa B
OP-057,2026-06-17,Run,Dados,Alta,Concluído,65,Médio,Pessoa D
OP-058,2026-05-27,Improve,Dados,Alta,Concluído,3,Alto,Pessoa B
OP-059,2026-01-31,Change,Dados,Baixa,Em andamento,32,Baixo,Pessoa B
OP-060,2026-03-01,Run,Suporte,Alta,Concluído,37,Alto,Pessoa D
OP-061,2026-05-31,Change,Suporte,Baixa,Concluído,38,Alto,Pessoa A
OP-062,2026-07-22,Improve,Dados,Alta,Concluído,28,Baixo,Pessoa E
OP-063,2026-05-19,Change,Dados,Média,Concluído,42,Alto,Pessoa C
OP-064,2026-02-17,Run,Suporte,Alta,Concluído,27,Médio,Pessoa B
OP-065,2026-08-11,Improve,Projetos,Baixa,Concluído,41,Baixo,Pessoa B
OP-066,2026-03-06,Improve,Dados,Baixa,Backlog,56,Médio,Pessoa A
OP-067,2026-02-28,Improve,Suporte,Média,Concluído,23,Alto,Pessoa C
OP-068,2026-01-24,Change,Infraestrutura,Baixa,Concluído,29,Baixo,Pessoa A
OP-069,2026-06-01,Run,Automação,Baixa,Em andamento,29,Médio,Pessoa D
OP-070,2026-08-01,Improve,Dados,Média,Concluído,48,Baixo,Pessoa C
OP-071,2026-02-21,Run,Dados,Baixa,Concluído,18,Alto,Pessoa C
OP-072,2026-01-21,Run,Projetos,Alta,Concluído,50,Alto,Pessoa E
OP-073,2026-06-04,Run,Dados,Média,Concluído,18,Médio,Pessoa C
OP-074,2026-01-17,Improve,Infraestrutura,Média,Em andamento,19,Médio,Pessoa B
OP-075,2026-04-07,Run,Automação,Alta,Concluído,27,Baixo,Pessoa E
OP-076,2026-07-27,Run,Infraestrutura,Alta,Concluído,32,Médio,Pessoa E
OP-077,2026-07-23,Run,Projetos,Baixa,Em andamento,9,Baixo,Pessoa D
OP-078,2026-04-12,Change,Infraestrutura,Média,Concluído,15,Alto,Pessoa A
OP-079,2026-03-04,Improve,Dados,Alta,Concluído,56,Alto,Pessoa A
OP-080,2026-07-15,Run,Projetos,Alta,Concluído,5,Baixo,Pessoa D
OP-081,2026-06-14,Run,Infraestrutura,Alta,Concluído,8,Baixo,Pessoa C
OP-082,2026-07-24,Run,Dados,Alta,Backlog,6,Médio,Pessoa D
OP-083,2026-03-27,Run,Infraestrutura,Baixa,Concluído,62,Baixo,Pessoa A
OP-084,2026-08-08,Change,Suporte,Alta,Em andamento,55,Médio,Pessoa A
OP-085,2026-01-07,Run,Automação,Alta,Concluído,31,Médio,Pessoa E
OP-086,2026-02-12,Improve,Dados,Alta,Concluído,35,Médio,Pessoa B
OP-087,2026-07-29,Run,Infraestrutura,Alta,Backlog,13,Médio,Pessoa E
OP-088,2026-05-07,Run,Automação,Média,Concluído,46,Alto,Pessoa D
OP-089,2026-01-13,Improve,Infraestrutura,Baixa,Concluído,37,Baixo,Pessoa C
OP-090,2026-01-06,Run,Dados,Média,Concluído,10,Baixo,Pessoa E
