Data,Lote,Produto,Linha,PlanejadoKg,ProduzidoKg,PerdaKg,RendimentoPct,LeadTimeHoras,Risco
2026-04-25,LT-2026001,Produto D,Linha 2,1458,1221,46.4,83.74,13.0,Baixo
2026-07-25,LT-2026002,Produto F,Linha 4,743,782,0.0,105.25,36.9,Médio
2026-06-06,LT-2026003,Produto H,Linha 1,841,713,36.4,84.78,21.5,Médio
2026-03-03,LT-2026004,Produto E,Linha 3,832,889,0.0,106.85,11.6,Baixo
2026-02-01,LT-2026005,Produto F,Linha 3,1066,1133,0.0,106.29,49.6,Baixo
2026-06-20,LT-2026006,Produto C,Linha 4,1497,1310,48.6,87.51,41.9,Alto
2026-07-01,LT-2026007,Produto F,Linha 2,718,734,0.0,102.23,28.5,Baixo
2026-08-03,LT-2026008,Produto E,Linha 4,1427,1344,6.9,94.18,30.5,Baixo
2026-03-10,LT-2026009,Produto B,Linha 1,1289,1050,69.0,81.46,13.7,Alto
2026-08-10,LT-2026010,Produto E,Linha 1,1112,893,29.7,80.31,44.7,Alto
2026-06-24,LT-2026011,Produto C,Linha 4,1374,1287,10.6,93.67,19.6,Alto
2026-01-31,LT-2026012,Produto C,Linha 1,926,769,49.1,83.05,11.9,Baixo
2026-04-07,LT-2026013,Produto G,Linha 4,1093,945,36.1,86.46,49.6,Baixo
2026-01-05,LT-2026014,Produto G,Linha 2,969,777,18.7,80.19,32.9,Baixo
2026-04-30,LT-2026015,Produto A,Linha 1,762,720,5.3,94.49,53.5,Baixo
2026-06-06,LT-2026016,Produto B,Linha 2,1379,1388,0.0,100.65,48.9,Baixo
2026-02-09,LT-2026017,Produto C,Linha 2,1026,894,36.9,87.13,28.7,Alto
2026-05-07,LT-2026018,Produto E,Linha 2,881,860,3.1,97.62,44.9,Alto
2026-01-27,LT-2026019,Produto C,Linha 4,733,596,27.0,81.31,15.9,Baixo
2026-06-21,LT-2026020,Produto F,Linha 2,1443,1447,0.0,100.28,47.3,Médio
2026-07-16,LT-2026021,Produto D,Linha 2,1402,1274,39.2,90.87,22.8,Baixo
2026-07-06,LT-2026022,Produto G,Linha 4,818,660,28.9,80.68,53.2,Baixo
2026-05-06,LT-2026023,Produto G,Linha 1,719,703,2.5,97.77,21.9,Baixo
2026-03-02,LT-2026024,Produto F,Linha 3,778,687,25.5,88.3,48.4,Baixo
2026-06-05,LT-2026025,Produto C,Linha 3,1076,1024,13.5,95.17,43.5,Baixo
2026-05-19,LT-2026026,Produto G,Linha 2,833,699,40.3,83.91,23.7,Alto
2026-04-13,LT-2026027,Produto C,Linha 4,718,616,13.1,85.79,36.9,Baixo
2026-03-05,LT-2026028,Produto B,Linha 1,1123,897,28.8,79.88,8.8,Baixo
2026-04-02,LT-2026029,Produto F,Linha 2,1058,1053,1.3,99.53,23.8,Baixo
2026-03-21,LT-2026030,Produto A,Linha 2,1420,1175,31.8,82.75,49.6,Baixo
2026-08-23,LT-2026031,Produto A,Linha 2,1052,1120,0.0,106.46,49.2,Médio
2026-01-08,LT-2026032,Produto H,Linha 3,1198,1027,44.0,85.73,8.4,Médio
2026-07-27,LT-2026033,Produto F,Linha 2,990,872,29.2,88.08,27.1,Alto
2026-02-24,LT-2026034,Produto A,Linha 3,723,727,0.0,100.55,24.9,Alto
2026-03-08,LT-2026035,Produto C,Linha 1,1421,1264,35.8,88.95,21.1,Baixo
2026-01-24,LT-2026036,Produto A,Linha 2,784,723,6.6,92.22,32.8,Médio
2026-03-14,LT-2026037,Produto B,Linha 3,866,870,0.0,100.46,15.2,Médio
2026-03-04,LT-2026038,Produto E,Linha 4,812,850,0.0,104.68,16.0,Médio
2026-04-15,LT-2026039,Produto C,Linha 4,1212,924,82.1,76.24,26.3,Baixo
