id_movimento,data_emissao,data_vencimento,data_pagamento,tipo,categoria,centro_custo,entidade,forma_pagamento,valor_previsto,valor_realizado,status
MOV-00001,2024-12-09,2025-01-09,2025-01-06,Entrada,Assinaturas,Administrativo,Cliente 06,Cartão,3180.16,3225.28,Pago
MOV-00002,2024-12-07,2025-01-08,2025-01-03,Entrada,Vendas B2B,Administrativo,Cliente 27,Boleto,4224.17,4239.69,Pago
MOV-00003,2025-01-08,2025-01-28,2025-02-03,Entrada,Vendas B2B,Tecnologia,Cliente 10,Boleto,7028.5,7112.06,Pago em atraso
MOV-00004,2024-12-05,2025-01-03,2025-01-03,Entrada,Serviços,Tecnologia,Cliente 03,Cartão,7916.24,8081.29,Pago
MOV-00005,2024-12-15,2025-01-13,2025-01-23,Entrada,Assinaturas,Tecnologia,Cliente 37,Boleto,17591.36,17939.04,Pago em atraso
MOV-00006,2024-12-26,2025-01-08,2025-01-04,Entrada,Assinaturas,Marketing,Cliente 18,Cartão,3496.53,3571.07,Pago
MOV-00007,2024-12-12,2025-01-12,2025-01-11,Entrada,Assinaturas,Comercial,Cliente 39,Boleto,8345.45,8446.51,Pago
MOV-00008,2024-12-12,2025-01-15,2025-01-13,Entrada,Assinaturas,Comercial,Cliente 15,PIX,6521.13,6593.36,Pago
MOV-00009,2024-12-09,2025-01-03,2025-01-03,Entrada,Assinaturas,Marketing,Cliente 42,Cartão,8897.7,8744.28,Pago
MOV-00010,2025-01-01,2025-01-24,2025-01-23,Entrada,Vendas B2B,Administrativo,Cliente 26,Transferência,4922.38,4995.33,Pago
MOV-00011,2025-01-03,2025-01-17,2025-01-12,Entrada,Vendas B2B,Operações,Cliente 44,Cartão,17962.57,18351.75,Pago
MOV-00012,2025-01-10,2025-01-20,2025-01-19,Entrada,Assinaturas,Comercial,Cliente 44,Transferência,8648.46,8892.91,Pago
MOV-00013,2024-12-08,2025-01-10,2025-01-12,Entrada,Assinaturas,Tecnologia,Cliente 33,Boleto,7970.67,7733.1,Pago
MOV-00014,2024-12-18,2025-01-21,2025-01-19,Entrada,Vendas B2B,Operações,Cliente 35,PIX,4417.44,4325.43,Pago
MOV-00015,2024-12-18,2025-01-04,2025-01-03,Entrada,Assinaturas,Administrativo,Cliente 06,PIX,10226.81,10066.94,Pago
MOV-00016,2024-12-31,2025-01-25,2025-01-22,Entrada,Assinaturas,Administrativo,Cliente 11,Transferência,15203.55,14864.56,Pago
MOV-00017,2024-12-16,2025-01-07,2025-01-05,Entrada,Assinaturas,Tecnologia,Cliente 29,Cartão,12020.23,12173.81,Pago
MOV-00018,2024-12-25,2025-01-11,2025-01-29,Entrada,Vendas B2B,Comercial,Cliente 05,PIX,6215.4,6114.75,Pago em atraso
MOV-00019,2025-01-03,2025-01-28,2025-01-26,Entrada,Vendas B2B,Operações,Cliente 35,Boleto,16562.38,16342.24,Pago
MOV-00020,2025-01-03,2025-01-19,2025-01-21,Entrada,Assinaturas,Comercial,Cliente 07,Cartão,16212.22,16511.33,Pago
MOV-00021,2024-12-26,2025-01-28,2025-01-24,Entrada,Vendas B2B,Tecnologia,Cliente 07,Boleto,9048.75,8810.2,Pago
MOV-00022,2024-12-24,2025-01-05,2025-01-04,Entrada,Vendas B2B,Marketing,Cliente 36,PIX,10951.54,10926.98,Pago
MOV-00023,2025-01-10,2025-01-27,2025-01-30,Entrada,Vendas B2B,Operações,Cliente 27,Cartão,17989.09,18449.29,Pago em atraso
MOV-00024,2024-12-15,2025-01-02,2024-12-28,Entrada,Vendas B2B,Marketing,Cliente 19,Cartão,15942.69,16406.92,Pago
MOV-00025,2025-01-07,2025-01-26,2025-01-28,Entrada,Assinaturas,Operações,Cliente 04,PIX,13903.68,13615.7,Pago
MOV-00026,2024-12-24,2025-01-19,2025-01-16,Entrada,Assinaturas,Comercial,Cliente 12,PIX,3668.91,3571.36,Pago
MOV-00027,2024-12-28,2025-01-08,2025-01-06,Entrada,Assinaturas,Administrativo,Cliente 06,Cartão,13063.23,13125.09,Pago
MOV-00028,2024-12-22,2025-01-11,2025-01-09,Entrada,Assinaturas,Operações,Cliente 17,Cartão,11391.45,11507.46,Pago
MOV-00029,2024-12-17,2025-01-15,2025-01-11,Entrada,Vendas B2B,Administrativo,Cliente 07,PIX,12611.61,12240.31,Pago
MOV-00030,2024-12-15,2025-01-05,2025-01-01,Entrada,Assinaturas,Tecnologia,Cliente 11,Cartão,10489.45,10728.15,Pago
MOV-00031,2024-12-24,2025-01-20,2025-01-15,Entrada,Serviços,Tecnologia,Cliente 43,PIX,13493.81,13629.72,Pago
MOV-00032,2024-12-06,2025-01-04,2025-01-01,Entrada,Serviços,Operações,Cliente 22,Boleto,4841.22,4775.09,Pago
MOV-00033,2024-12-25,2025-01-17,2025-01-12,Entrada,Assinaturas,Tecnologia,Cliente 03,PIX,15764.27,15378.64,Pago
MOV-00034,2024-12-17,2025-01-09,2025-01-11,Entrada,Vendas B2B,Administrativo,Cliente 01,PIX,4788.46,4803.31,Pago
